city,lat,lng,state
Idar (Gujarāt),23.839,73.002,Gujarāt
Sikandarābād (Uttar Pradesh),28.4512,77.6955,Uttar Pradesh
Āīzawl (Mizoram),23.7272,92.7178,Mizoram
Bāli (West Bengal),22.65,88.34,West Bengal
Surajgarha (Bihār),25.25,86.23,Bihār
Nāgercoil (Tamil Nādu),8.175,77.4306,Tamil Nādu
Dewās (Madhya Pradesh),22.96,76.06,Madhya Pradesh
Sonpur (Bihār),25.7,85.18,Bihār
Hugli (West Bengal),22.9,88.39,West Bengal
Chunchura (West Bengal),22.9,88.39,West Bengal
Ichalkaranji (Mahārāshtra),16.7,74.47,Mahārāshtra
Tirupati (Andhra Pradesh),13.65,79.42,Andhra Pradesh
Bhatinda (Punjab),30.23,74.9519,Punjab
Satna (Madhya Pradesh),24.6005,80.8322,Madhya Pradesh
Mau (Uttar Pradesh),25.9417,83.5611,Uttar Pradesh
Bārāsat (West Bengal),22.72,88.48,West Bengal
Farrukhābād (Uttar Pradesh),27.39,79.581,Uttar Pradesh
Saugor (Madhya Pradesh),23.83,78.71,Madhya Pradesh
Khorabar (Uttar Pradesh),26.741,83.888,Uttar Pradesh
Ratlām (Madhya Pradesh),23.334,75.037,Madhya Pradesh
Handwāra (Jammu and Kashmīr),34.3997,74.2817,Jammu and Kashmīr
Drug (Chhattīsgarh),21.19,81.28,Chhattīsgarh
Anantapur (Andhra Pradesh),14.68,77.599,Andhra Pradesh
Imphāl (Manipur),24.8074,93.9384,Manipur
Arrah (Bihār),25.5514,84.6603,Bihār
Sivakāsi (Tamil Nādu),9.4533,77.8024,Tamil Nādu
Etāwah (Uttar Pradesh),26.77,79.03,Uttar Pradesh
Malkājgiri (Andhra Pradesh),17.4519,78.5362,Andhra Pradesh
Tuni (Andhra Pradesh),17.35,82.55,Andhra Pradesh
Amarnāth (Mahārāshtra),19.209,73.186,Mahārāshtra
Rāpar (Gujarāt),23.57,70.63,Gujarāt
Samāstipur (Bihār),25.8629,85.7811,Bihār
Gokāk (Karnātaka),16.1667,74.8333,Karnātaka
Bharatpur (Rājasthān),27.22,77.48,Rājasthān
Begusarai (Bihār),25.42,86.13,Bihār
Nedumana (Kerala),8.9139,76.6889,Kerala
New Delhi (Delhi),28.6139,77.2089,Delhi
Tiruvottiyūr (Tamil Nādu),13.16,80.3,Tamil Nādu
Rāmnagar (Bihār),27.17,84.32,Bihār
Gāndhīdhām (Gujarāt),23.08,70.13,Gujarāt
Salūmbar (Rājasthān),24.08,74.02,Rājasthān
Puducherry (Puducherry),11.9167,79.8167,Puducherry
Kanpur (Uttar Pradesh),26.4499,80.3319,Uttar Pradesh
Rāmgundam (Andhra Pradesh),18.7639,79.475,Andhra Pradesh
Pandharpur (Mahārāshtra),17.6778,75.3278,Mahārāshtra
Masaurhi Buzurg (Bihār),25.35,85.02,Bihār
Alleppey (Kerala),9.49,76.33,Kerala
Katihār (Bihār),25.53,87.58,Bihār
Ahor (Rājasthān),25.367,72.783,Rājasthān
Gangānagar (Rājasthān),29.92,73.88,Rājasthān
Tinkhang (Assam),27.23,95.17,Assam
Rewa (Madhya Pradesh),24.5381,81.2953,Madhya Pradesh
Uluberiya (West Bengal),22.47,88.11,West Bengal
Bulandshahr (Uttar Pradesh),28.4069,77.8497,Uttar Pradesh
Rāichūr (Karnātaka),16.2,77.37,Karnātaka
Chauhanpatti (Uttar Pradesh),25.15,82.6,Uttar Pradesh
Cannanore (Kerala),11.8745,75.3704,Kerala
Machilīpatnam (Andhra Pradesh),16.17,81.13,Andhra Pradesh
Pāli (Rājasthān),25.77,73.33,Rājasthān
Songadh (Gujarāt),21.167,73.564,Gujarāt
Gadda Madiral (Andhra Pradesh),18.7519,79.5133,Andhra Pradesh
Hosūr (Tamil Nādu),12.7409,77.8253,Tamil Nādu
Haridwār (Uttarākhand),29.945,78.163,Uttarākhand
Vizianagaram (Andhra Pradesh),18.1159,83.406,Andhra Pradesh
Pāthardi (Mahārāshtra),19.17,75.18,Mahārāshtra
Mel Pālaiyam (Tamil Nādu),8.7,77.7069,Tamil Nādu
Khatīma (Uttarākhand),28.9198,79.9699,Uttarākhand
Petlād (Gujarāt),22.47,72.8,Gujarāt
Pudukkottai (Tamil Nādu),10.3833,78.8001,Tamil Nādu
Nadiād (Gujarāt),22.69,72.86,Gujarāt
Tanjore (Tamil Nādu),10.787,79.1378,Tamil Nādu
Kichha (Uttarākhand),28.92,79.5,Uttarākhand
Katri (Madhya Pradesh),23.48,80.4,Madhya Pradesh
Dagarua (Bihār),25.8,87.64,Bihār
Sambhal (Uttar Pradesh),28.58,78.55,Uttar Pradesh
Singrauliya (Madhya Pradesh),24.202,82.666,Madhya Pradesh
Naihāti (West Bengal),22.89,88.42,West Bengal
Jaynagar (Bihār),26.5925,86.1372,Bihār
Yamunānagar (Haryāna),30.133,77.288,Haryāna
Pallāvaram (Tamil Nādu),12.9675,80.1491,Tamil Nādu
Khargone (Madhya Pradesh),21.82,75.6187,Madhya Pradesh
Secunderābād (Andhra Pradesh),17.4399,78.4983,Andhra Pradesh
Monghyr (Bihār),25.381,86.465,Bihār
Chāpra (Bihār),25.7848,84.7274,Bihār
Bhadrāvati (Karnātaka),13.8485,75.705,Karnātaka
Panchkula (Haryāna),30.74,76.8,Haryāna
Burhānpur (Madhya Pradesh),21.3114,76.2289,Madhya Pradesh
Kāpra (Andhra Pradesh),17.4859,78.5651,Andhra Pradesh
Nowgong (Assam),26.3504,92.6796,Assam
Ambāla (Haryāna),30.38,76.78,Haryāna
Kharagpur (West Bengal),22.3302,87.3237,West Bengal
Robertsonpet (Karnātaka),12.9563,78.2754,Karnātaka
Dindigul (Tamil Nādu),10.35,77.95,Tamil Nādu
Rānīwāra Kalān (Rājasthān),24.75,72.2167,Rājasthān
Shimla (Himāchal Pradesh),31.1033,77.1722,Himāchal Pradesh
Hospet (Karnātaka),15.2689,76.3909,Karnātaka
Māldah (West Bengal),25.0044,88.1458,West Bengal
Ongole (Andhra Pradesh),15.506,80.049,Andhra Pradesh
Ellore (Andhra Pradesh),16.7117,81.1031,Andhra Pradesh
Deoghar (Jhārkhand),24.48,86.7,Jhārkhand
Chhindwāra (Madhya Pradesh),22.057,78.9396,Madhya Pradesh
Mokameh (Bihār),25.3898,85.9191,Bihār
Puri (Odisha),19.8106,85.8314,Odisha
Haldia (West Bengal),22.0667,88.0698,West Bengal
Khandwa (Madhya Pradesh),21.82,76.35,Madhya Pradesh
Nandyāl (Andhra Pradesh),15.48,78.48,Andhra Pradesh
Morena (Madhya Pradesh),26.5,78.0,Madhya Pradesh
Karjat (Mahārāshtra),18.55,75.0,Mahārāshtra
Kasba Patāspur (West Bengal),22.0216,87.5423,West Bengal
Drabar (Jammu and Kashmīr),33.43,75.09,Jammu and Kashmīr
Amroha (Uttar Pradesh),28.9044,78.4675,Uttar Pradesh
Rānī (Kerala),9.3667,76.7667,Kerala
Chakradharpur (Jhārkhand),22.7,85.63,Jhārkhand
Bhiwāni (Haryāna),28.78,76.13,Haryāna
Bhind (Madhya Pradesh),26.5647,78.7864,Madhya Pradesh
Khammam (Andhra Pradesh),17.2473,80.1514,Andhra Pradesh
Madhyamgram (West Bengal),22.7,88.45,West Bengal
Ghāndīnagar (Gujarāt),23.2231,72.65,Gujarāt
Baharampur (West Bengal),24.1,88.25,West Bengal
Morbi (Gujarāt),22.82,70.83,Gujarāt
Fatehpur (Uttar Pradesh),25.93,80.8,Uttar Pradesh
Rāe Bareli (Uttar Pradesh),26.2236,81.2403,Uttar Pradesh
Orai (Uttar Pradesh),25.98,79.47,Uttar Pradesh
Mahbūbnagar (Andhra Pradesh),16.7488,78.0035,Andhra Pradesh
Murtazābād (Uttar Pradesh),28.7111,77.2688,Uttar Pradesh
Bhuj (Gujarāt),23.25,69.67,Gujarāt
Ratanpur (Gujarāt),23.0851,72.5716,Gujarāt
Bhusāval (Mahārāshtra),21.05,75.77,Mahārāshtra
Bahraigh (Uttar Pradesh),27.575,81.594,Uttar Pradesh
Umreth (Gujarāt),22.6986,73.1156,Gujarāt
Ittikara (Kerala),8.8633,76.6972,Kerala
Mahesāna (Gujarāt),23.6,72.4,Gujarāt
Alasandigutta (Andhra Pradesh),15.6244,77.2731,Andhra Pradesh
Rāiganj (West Bengal),25.62,88.12,West Bengal
Batāla (Punjab),31.8186,75.2028,Punjab
Pālanpur (Gujarāt),24.1722,72.4333,Gujarāt
Sirsa (Haryāna),29.5333,75.0167,Haryāna
Dinapore (Bihār),25.6225,85.0417,Bihār
Tambaram (Tamil Nādu),12.831,80.0459,Tamil Nādu
Shrīrāmpur (West Bengal),22.75,88.34,West Bengal
Himatnagar (Gujarāt),23.6,72.95,Gujarāt
Guna (Madhya Pradesh),24.65,77.32,Madhya Pradesh
Nawāda (Bihār),24.88,85.53,Bihār
Jaunpur (Uttar Pradesh),25.73,82.68,Uttar Pradesh
Mahād (Mahārāshtra),18.083,73.417,Mahārāshtra
Madanapalle (Andhra Pradesh),13.55,78.5,Andhra Pradesh
Wadlakonda (Andhra Pradesh),17.7736,79.575,Andhra Pradesh
Bhachāu (Gujarāt),23.296,70.343,Gujarāt
Shivpuri (Madhya Pradesh),25.43,77.65,Madhya Pradesh
Sātāra (Mahārāshtra),17.688,74.006,Mahārāshtra
Vāda (Mahārāshtra),19.39,73.08,Mahārāshtra
Phillaur (Punjab),31.03,75.78,Punjab
Unnāo (Uttar Pradesh),26.55,80.49,Uttar Pradesh
Sītāpur (Uttar Pradesh),27.57,80.66,Uttar Pradesh
Kalamboli (Mahārāshtra),19.2333,73.1333,Mahārāshtra
Sāila (Rājasthān),25.333,72.367,Rājasthān
Wārāseonī (Madhya Pradesh),21.7647,80.0494,Madhya Pradesh
Mauli (Punjab),30.699,76.693,Punjab
Harnaut (Bihār),25.3694,85.5319,Bihār
Chittoor (Andhra Pradesh),13.216,79.098,Andhra Pradesh
Navadwīp (West Bengal),23.42,88.37,West Bengal
Kotdwāra (Uttarākhand),29.75,78.53,Uttarākhand
Pīlibhīt (Uttar Pradesh),28.6267,79.8058,Uttar Pradesh
Cuddalore (Tamil Nādu),11.75,79.75,Tamil Nādu
Gondal (Gujarāt),21.958,70.795,Gujarāt
Deo (Bihār),24.6583,84.4378,Bihār
Silchar (Assam),24.82,92.8,Assam
Chīrāla (Andhra Pradesh),15.8246,80.3521,Andhra Pradesh
Gadag (Karnātaka),15.4167,75.6167,Karnātaka
Tiruvannāmalai (Tamil Nādu),12.13,79.07,Tamil Nādu
Bīdar (Karnātaka),17.912,77.52,Karnātaka
Jalālābād (Punjab),30.62,74.25,Punjab
Villupuram (Tamil Nādu),11.9401,79.4861,Tamil Nādu
Nawsari (Gujarāt),20.95,72.93,Gujarāt
Valsād (Gujarāt),20.61,72.926,Gujarāt
Medinīpur (West Bengal),22.424,87.319,West Bengal
Damoh (Madhya Pradesh),23.8331,79.4419,Madhya Pradesh
Harīpur (Punjab),31.53,75.92,Punjab
Neyveli (Tamil Nādu),11.6088,79.4994,Tamil Nādu
Bāramūla (Jammu and Kashmīr),34.198,74.364,Jammu and Kashmīr
Malkāpur (Mahārāshtra),20.885,76.2,Mahārāshtra
Jīnd (Haryāna),29.3167,76.3167,Haryāna
Chandannagar (West Bengal),22.87,88.38,West Bengal
Ādoni (Andhra Pradesh),15.6279,77.2749,Andhra Pradesh
Udipi (Karnātaka),13.3389,74.7451,Karnātaka
Fyzābād (Uttar Pradesh),26.773,82.146,Uttar Pradesh
Sawāi Mādhopur (Rājasthān),26.0,76.35,Rājasthān
Tenāli (Andhra Pradesh),16.239,80.645,Andhra Pradesh
Conjeeveram (Tamil Nādu),12.8185,79.6947,Tamil Nādu
Madhubani (Bihār),26.3519,86.0719,Bihār
Proddatūr (Andhra Pradesh),14.75,78.55,Andhra Pradesh
Sultānpur Mazra (Delhi),28.6981,77.0689,Delhi
Godhra (Gujarāt),22.7772,73.6203,Gujarāt
Multai (Madhya Pradesh),21.77,78.25,Madhya Pradesh
Pangzawl (Mizoram),22.91,92.76,Mizoram
Prāntij (Gujarāt),23.4384,72.8572,Gujarāt
Moga (Punjab),30.822,75.174,Punjab
Budaun (Uttar Pradesh),28.05,79.12,Uttar Pradesh
Uttarpāra (West Bengal),22.67,88.35,West Bengal
Daltonganj (Jhārkhand),24.03,84.07,Jhārkhand
Jāmkhed (Mahārāshtra),18.72,75.32,Mahārāshtra
Bharūch (Gujarāt),21.712,72.993,Gujarāt
Lunglei (Mizoram),22.88,92.73,Mizoram
Saharsa (Bihār),25.88,86.6,Bihār
Vidisha (Madhya Pradesh),23.53,77.82,Madhya Pradesh
Pathānkot (Punjab),32.2668,75.6,Punjab
Kārwār (Karnātaka),14.8,74.13,Karnātaka
Thānesar (Haryāna),29.9667,76.8167,Haryāna
Kishangarh (Rājasthān),26.57,74.87,Rājasthān
Rudarpur (Uttarākhand),28.98,79.4,Uttarākhand
Tindwāra (Uttar Pradesh),25.4833,80.3333,Uttar Pradesh
Nalgonda (Andhra Pradesh),17.0575,79.2684,Andhra Pradesh
Dibrugarh (Assam),27.48,95.0,Assam
Verāval (Gujarāt),20.9159,70.3629,Gujarāt
Betūl Bazār (Madhya Pradesh),21.905,77.902,Madhya Pradesh
Bālurghāt (West Bengal),25.22,88.76,West Bengal
Jorhāt (Assam),26.75,94.22,Assam
Krishnanagar (West Bengal),23.4,88.5,West Bengal
Bārākpur (West Bengal),22.76,88.37,West Bengal
Porbandar (Gujarāt),21.6417,69.6293,Gujarāt
Shāntipur (West Bengal),23.25,88.43,West Bengal
Hindupur (Andhra Pradesh),13.83,77.49,Andhra Pradesh
Beāwar (Rājasthān),26.1,74.32,Rājasthān
Bhālswa Jahangirpur (Delhi),28.7354,77.1638,Delhi
Erode (Tamil Nādu),11.3409,77.7171,Tamil Nādu
Sibsāgar (Assam),26.9844,94.6375,Assam
Nāngloi Jāt (Delhi),28.6833,77.0667,Delhi
Soro (Odisha),21.29,86.69,Odisha
Nūzvīd (Andhra Pradesh),16.7881,80.8465,Andhra Pradesh
Sitārganj (Uttarākhand),28.93,79.7,Uttarākhand
